メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2003,6MT,303,AP1,3 - 普通,92 ～ 97,2023/11/1,ベースグレード,2000,,黒,AC
ホンダ,S2000 2WD,2001,6MT,283,AP1,3 - 普通,115 ～ 119,2024/2/1,,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,2001,6MT,272,AP1,3 - 普通,130 ～ 132,2024/3/1,,2000,,白,AC
ホンダ,S2000 オープン 2WD,2006,6MT,249,AP2,3 - 普通,168 ～ 171,2023/10/1,,2000,7.1,赤,AC AW
ホンダ,S2000 オープン 2WD,2000,6MT,226,AP1,3 - 普通,111 ～ 114,2023/9/1,タイプＶ,2200,,黒,AC
ホンダ,S2000 2WD,1999,6MT,224,AP1,3 - 普通,149 ~ 152,2024/3/1,,2000,7.1,シルバー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,221,AP1,3 - 普通,162 ~ 167,2024/4/1,ベースグレード,2000,6.2,グレー,AC 革
ホンダ,S2000 オープン 2WD,1999,6MT,221,AP1,3 - 普通,105 ～ 107,2023/10/1,ベースグレード,2000,6.8,シルバー,AC AW
ホンダ,S2000 2WD,1999,6MT,213,AP1,3 - 普通,149 ~ 153,2024/4/1,,2000,,赤,AC AW SR
ホンダ,S2000 2WD,1999,6MT,211,AP1,3 - 普通,112 ～ 117,2023/7/1,,2000,6.7,オレンジ,AC
ホンダ,S2000 2WD,2003,6MT,210,AP1,3 - 普通,137 ~ 140,2024/3/1,,2000,,黄,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2002,6MT,209,AP1,3 - 普通,110 ～ 114,2024/1/1,,2000,,シルバー,AC
ホンダ,S2000 2WD,1999,6MT,208,AP1,3 - 普通,173 ～ 177,2024/2/1,ベースグレード,2000,,白,AC AW 革
ホンダ,S2000 2WD,2002,6MT,208,AP1,3 - 普通,107 ～ 110,2023/6/1,ベースグレード,2000,6.4,グレー,AC NV TV AW SR 革
ホンダ,S2000 2WD,2002,6MT,206,AP1,3 - 普通,116 ～ 120,2023/7/1,ベースグレード,2000,6.12,AC NV TV AW SR 革,
ホンダ,S2000 2WD,1999,6MT,204,AP1,3 - 普通,143 ～ 148,2023/10/1,ベースグレード,2000,6.11,青,AC 革
ホンダ,S2000 2WD,2000,6MT,202,AP1,3 - 普通,108 ～ 113,2023/10/1,タイプＶ,2000,,パール,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,201,AP1,3 - 普通,121 ～ 125,2024/2/1,ジオーレ,2000,7.4,ワイン,AC 革
ホンダ,S2000 2WD,1999,6MT,193,AP1,3 - 普通,112 ～ 118,2023/7/1,,2000,,シルバー,AC
ホンダ,S2000 2WD,2001,6MT,183,AP1,3 - 普通,102 ～ 107,2023/10/1,ベースグレード,2000,6.12,グレー,AC AW 革
ホンダ,S2000 オープン 2WD,2002,6MT,180,AP1,3 - 普通,127 ~ 131,2024/4/1,タイプV,2000,7.11,グレー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2002,6MT,179,AP1,3 - 普通,134 ～ 136,2023/10/1,,2000,6.1,シルバー,AC
ホンダ,S2000 オープン 2WD,1999,6MT,179,AP1,3 - 普通,154 ～ 159,2023/6/1,ベースグレード,2000,6.1,シルバー,AC AW 革
